Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Vehicle_movement,Casualty_class,Sex_of_casualty,Cause_of_accident
13:30:00,Saturday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Reversing,Pedestrian,Female,Driving under the influence of drugs
13:30:00,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Moving Backward,na,na,Changing lane to the right
07:50:00,Wednesday,18-30,Male,High school,Employee,Above 10yr,Automobile,Governmental,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Female,Changing lane to the left
07:50:00,Wednesday,Unknown,Male,High school,Employee,Above 10yr,Automobile,Owner,5-10yrs,No defect,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Pedestrian,Male,Moving Backward
12:30:00,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Above 10yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,na,na,No distancing
12:30:00,Tuesday,31-50,Male,Elementary school,Employee,1-2yr,Lorry (11?40Q),,1-2yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Male,Changing lane to the right
19:30:00,Tuesday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,Going straight,Driver or rider,Male,Moving Backward
19:30:00,Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,na,na,No distancing
22:40:00,Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,Above 10yr,No defect,Other,One way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,na,na,Driving to the left
22:40:00,Tuesday,31-50,Male,Junior high school,Owner,5-10yr,Other,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,,2,Going straight,Driver or rider,Male,Driving to the left
23:35:00,Tuesday,18-30,Male,High school,Owner,Above 10yr,Automobile,Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,Going straight,Passenger,Female,Moving Backward
17:30:00,Tuesday,18-30,Male,,Owner,Below 1yr,Pick up upto 10Q,Owner,,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Turnover,Passenger,Female,Moving Backward
17:30:00,Tuesday,18-30,Male,Writing & reading,Owner,5-10yr,Motorcycle,Owner,1-2yr,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Passenger,Male,Overtaking
12:44:00,Wednesday,31-50,Male,Above high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Moving Backward,Passenger,Female,Driving carelessly
12:44:00,Wednesday,31-50,Male,High school,Employee,Below 1yr,Pick up upto 10Q,Owner,5-10yrs,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,Going straight,Driver or rider,Female,Changing lane to the left
20:20:00,Thursday,Unknown,Male,Junior high school,Employee,1-2yr,Motorcycle,Owner,1-2yr,No defect, Hospital areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,3,Going straight,na,na,Driving under the influence of drugs
20:20:00,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,,3,Moving Backward,na,na,No distancing
20:20:00,Thursday,18-30,Male,Junior high school,Owner,Above 10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,Going straight,Driver or rider,Male,Moving Backward
09:30:00,Wednesday,Unknown,Male,Junior high school,Employee,Above 10yr,Taxi,Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,,2,Going straight,Driver or rider,Male,Changing lane to the left
09:30:00,Wednesday,31-50,Unknown,Junior high school,Employee,No Licence,Automobile,Owner,1-2yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,,2,Waiting to go,na,na,Changing lane to the right
14:20:00,Friday,18-30,Male,Junior high school,Employee,1-2yr,Long lorry,Owner,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,,2,Moving Backward,na,na,No distancing
14:20:00,Friday,31-50,Male,Illiterate,Owner,1-2yr,Automobile,Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Moving Backward,na,na,Driving at high speed
21:44:00,Sunday,Over 51,Male,Junior high school,Owner,Below 1yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,Going straight,na,na,Changing lane to the right
21:44:00,Sunday,31-50,Male,Junior high school,Owner,1-2yr,Lorry (11?40Q),Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Collision with roadside objects,2,Unknown,Driver or rider,Male,No priority to vehicle
12:20:00,Thursday,31-50,Male,Junior high school,Owner,2-5yr,Pick up upto 10Q,Owner,Unknown,No defect,Office areas,Double carriageway (median),Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,Going straight,Driver or rider,Female,No distancing
08:15:00,Monday,31-50,Male,Unknown,Owner,5-10yr,Lorry (41?100Q),Owner,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,Going straight,na,na,Turnover
08:15:00,Monday,Under 18,Male,Unknown,Owner,Above 10yr,Other,Organization,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,Going straight,Driver or rider,Male,No distancing
12:55:00,Monday,31-50,Male,Junior high school,Owner,2-5yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Moving Backward,Driver or rider,Male,Changing lane to the right
15:03:00,Tuesday,Over 51,Male,Elementary school,Owner,Above 10yr,Long lorry,Owner,Unknown,No defect,Office areas,,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Passenger,Male,No distancing
15:03:00,Tuesday,Over 51,Male,Writing & reading,Owner,5-10yr,Lorry (11?40Q),Governmental,Unknown,,Office areas,One way,Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Passenger,Male,Changing lane to the left
15:03:00,Tuesday,Over 51,Male,,Owner,,Long lorry,Owner,Unknown,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,3,Going straight,Driver or rider,Female,Driving carelessly
11:15:00,Wednesday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Unknown,,Residential areas,,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,na,na,Changing lane to the right
11:15:00,Wednesday,31-50,Male,Junior high school,Owner,Below 1yr,Taxi,Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,na,na,No priority to vehicle
20:14:00,Wednesday,18-30,Male,Junior high school,Owner,2-5yr,Taxi,Owner,5-10yrs,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,Reversing,Driver or rider,Male,No distancing
20:14:00,Wednesday,Under 18,Male,Elementary school,Employee,2-5yr,Long lorry,Owner,5-10yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Passenger,Female,No priority to pedestrian
08:55:00,Thursday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,Unknown,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,na,na,No priority to pedestrian
08:55:00,Thursday,Over 51,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,2-5yrs,,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,na,na,No priority to vehicle
13:23:00,Thursday,18-30,Male,Junior high school,Employee,5-10yr,Long lorry,Owner,2-5yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Passenger,Female,Changing lane to the left
13:23:00,Thursday,18-30,Male,Junior high school,Employee,5-10yr,Turbo,Owner,2-5yrs,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Pedestrian,Male,Changing lane to the left
15:35:00,Friday,18-30,Male,Junior high school,Employee,Above 10yr,Long lorry,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Female,No distancing
15:35:00,Friday,18-30,Male,Elementary school,Employee,5-10yr,Long lorry,,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,na,na,No priority to vehicle
16:19:00,Friday,18-30,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,na,na,No distancing
16:19:00,Friday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,Waiting to go,Driver or rider,Male,No distancing
20:40:00,Friday,Over 51,Male,Elementary school,Owner,,Automobile,Owner,Unknown,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Going straight,na,na,Changing lane to the right
20:11:00,Saturday,31-50,Male,Junior high school,Owner,5-10yr,Pick up upto 10Q,Owner,2-5yrs,,Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,Going straight,Pedestrian,Female,Changing lane to the left
01:05:00,Sunday,18-30,Unknown,Junior high school,Employee,5-10yr,,Owner,,,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Pedestrian,Female,No distancing
01:05:00,Sunday,18-30,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Male,Overturning
01:05:00,Sunday,31-50,Male,,,,,,,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,Going straight,Driver or rider,Male,No priority to vehicle
08:15:00,Monday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,Going straight,Driver or rider,Male,Moving Backward
08:15:00,Monday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,,Office areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,na,na,Driving under the influence of drugs
08:45:00,Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Long lorry,Owner,Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Female,Moving Backward
08:45:00,Saturday,Unknown,Male,High school,Employee,Above 10yr,Public (13?45 seats),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Female,Changing lane to the right
17:13:00,Friday,Unknown,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Governmental,Unknown,,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Driver or rider,Male,Overspeed
16:47:00,Tuesday,Unknown,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Driver or rider,Male,Driving under the influence of drugs
13:50:00,Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Unknown,,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Pedestrian,Female,Driving carelessly
13:50:00,Wednesday,Unknown,Female,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Governmental,2-5yrs,,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Pedestrian,Male,No distancing
21:05:00,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Turnover,na,na,No priority to vehicle
17:30:00,Friday,Unknown,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Reversing,Driver or rider,Male,Overspeed
23:53:00,Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Moving Backward,na,na,Driving under the influence of drugs
19:45:00,Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Long lorry,Owner,Unknown,,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,na,na,Changing lane to the right
19:45:00,Saturday,Unknown,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,5-10yrs,,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Moving Backward,Passenger,Female,Changing lane to the right
16:00:00,Wednesday,18-30,Male,Elementary school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,na,na,Changing lane to the right
16:00:00,Wednesday,Over 51,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Female,Changing lane to the right
21:20:00,Saturday,18-30,Male,Junior high school,Employee,,,Owner,Unknown,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Passenger,Male,Moving Backward
21:20:00,Saturday,18-30,Male,,Employee,5-10yr,Other,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,na,na,No distancing
16:00:00,Wednesday,31-50,Male,Writing & reading,Employee,Below 1yr,Special vehicle,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Male,Overspeed
16:00:00,Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Unknown,Passenger,Male,No distancing
13:45:00,Thursday,Under 18,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,Unknown,No defect,School areas,,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Passenger,Male,Driving carelessly
13:45:00,Thursday,Unknown,Male,Elementary school,Employee,Above 10yr,Lorry (11?40Q),Governmental,,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Unknown,na,na,No distancing
21:36:00,Tuesday,18-30,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Going straight,Driver or rider,Male,No distancing
10:42:00,Thursday,Unknown,Female,Elementary school,Employee,Below 1yr,Motorcycle,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,Moving Backward,Passenger,Female,No distancing
17:32:00,Thursday,18-30,Male,High school,Employee,2-5yr,Automobile,Governmental,Above 10yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,na,na,Changing lane to the right
17:32:00,Thursday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,1-2yr,No defect,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Male,No distancing
12:30:00,Friday,Unknown,Male,Above high school,Employee,Above 10yr,Automobile,Owner,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Moving Backward,Driver or rider,Male,No priority to vehicle
12:30:00,Friday,31-50,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Below 1yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Passenger,Male,Changing lane to the left
12:30:00,Friday,Unknown,Male,Junior high school,Employee,2-5yr,,Owner,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,Turnover,Driver or rider,Female,Moving Backward
15:44:00,Friday,31-50,Male,High school,Employee,1-2yr,Public (> 45 seats),Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Male,Driving carelessly
15:44:00,Friday,Over 51,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Governmental,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Female,Changing lane to the left
08:40:00,Sunday,Under 18,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Unknown,na,na,No priority to pedestrian
08:40:00,Sunday,Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Pedestrian,Male,No distancing
14:03:00,Saturday,18-30,Male,Elementary school,Employee,,Bicycle,Owner,,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Pedestrian,Female,No distancing
14:03:00,Saturday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Above 10yr,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,na,na,Overturning
10:29:00,Thursday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Female,No distancing
10:29:00,Thursday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Reversing,Driver or rider,Female,Drunk driving
22:20:00,Friday,31-50,Male,High school,Employee,1-2yr,Public (13?45 seats),Owner,,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,Going straight,na,na,Moving Backward
22:20:00,Friday,18-30,Male,Junior high school,Employee,5-10yr,Special vehicle,Owner,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Moving Backward,na,na,No priority to pedestrian
21:05:00,Friday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Male,Changing lane to the left
21:05:00,Friday,18-30,Male,High school,Employee,Above 10yr,Public (13?45 seats),Owner,Above 10yr,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Passenger,Male,Changing lane to the left
21:05:00,Friday,18-30,Male,Elementary school,Owner,5-10yr,,Owner,Above 10yr,,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Male,Getting off the vehicle improperly
17:28:00,Saturday,18-30,Male,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,na,na,No distancing
17:28:00,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),,,,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Male,Changing lane to the right
00:45:00,Sunday,Unknown,Female,Elementary school,Owner,5-10yr,Public (12 seats),Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Turnover,Passenger,Female,Changing lane to the right
14:43:00,Sunday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Driver or rider,Male,Moving Backward
16:12:00,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,na,na,Driving at high speed
13:00:00,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Above 10yr,No defect, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Moving Backward,Pedestrian,Male,Changing lane to the left
10:05:00,Tuesday,Over 51,Unknown,High school,Employee,1-2yr,Public (> 45 seats),Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,na,na,Changing lane to the right
10:05:00,Tuesday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Male,No distancing
